Team,Team Score,Opponent,Opponent Score
Alabama,70,Coastal Car,53
Albany NY,87,Penn St,81
Arizona,65,Michigan St,63
Arizona St,88,Portland St,70
Arkansas,92,IPFW,83
Auburn,83,North Florida,66
Ball St,85,St Louis,64
Baylor,76,Oral Roberts,61
Binghamton,68,Cornell,62
Bucknell,76,Manhattan,64
Buffalo,76,Niagara,66
California,82,S Dakota St,53
Central Conn,75,Hartford,60
Chattanooga,82,Tennessee,69
Cincinnati,84,Brown,55
Clemson,74,Georgia,64
Col Charleston,81,Citadel,68
Colorado,90,CS Sacramento,53
Columbia,73,Stony Brook,66
Creighton,89,Missouri KC,82
Dayton,96,Austin Peay,68
Duke,94,Marist,49
Duquesne,65,Loyola MD,60
E Kentucky,97,IUPUI,87
East Carolina,72,Grambling,57
Edwardsville,69,Hawaii,68
ETSU,96,Fordham,59
Fairfield,85,Sacred Heart,63
Florida,80,FL Gulf Coast,59
Fresno St,69,UT San Antonio,66
G Washington,75,MD E Shore,71
Georgia Tech,70,Tennessee Tech,55
Gonzaga,92,Utah Valley,69
Hofstra,74,Coppin St,72
Houston,93,Morgan St,52
Illinois,81,SE Missouri St,62
Indiana,103,Kansas,99
Iowa,91,Kennesaw,74
Iowa St,113,Savannah St,71
Jacksonville St,84,Tulsa,73
Kansas St,82,W Illinois,55
Kentucky,87,SF Austin,64
Louisville,78,Evansville,47
Loyola-Chicago,69,Alcorn St,44
Marquette,95,Vanderbilt,71
Maryland,62,American Univ,56
Massachusetts,90,MA Lowell,76
Miami FL,92,W Carolina,43
Michigan,76,Howard,58
Minnesota,86,ULL,74
Mississippi,86,TN Martin,83
Mississippi St,78,Norfolk St,74
Missouri St,96,Alabama A&M,62
Monmouth NJ,78,Drexel,65
Murray St,73,Illinois St,70
N Dakota St,76,Arkansas St,66
N Illinois,80,Indiana St,78
NC State,81,Ga Southern,79
New Mexico,81,Idaho St,70
Nicholls St,79,Boston College,73
North Carolina,95,Tulane,75
Northeastern,87,Boston Univ,77
Northwestern,94,MS Valley St,63
Oakland,78,Bowling Green,70
Ohio St,78,Navy,68
Oklahoma St,102,Campbell,65
Old Dominion,62,James Madison,55
Oregon,91,Army,77
Oregon St,78,Prairie View,58
Penn,67,Robert Morris,50
Pepperdine,77,Cal Poly SLO,68
Pittsburgh,93,E Michigan,90
Portland,71,UC Riverside,55
Presbyterian,73,Furman,71
Purdue,109,McNeese St,65
Rhode Island,84,Dartmouth,61
Richmond,72,VMI,69
Rider,67,Hampton,56
San Diego St,69,San Diego,59
San Francisco,82,IL Chicago,80
Santa Clara,67,Northern Arizona,64
Seton Hall,91,F Dickinson,70
SMU,72,Gardner Webb,44
South Alabama,76,UNLV,68
South Carolina,85,Louisiana Tech,76
South Dakota,79,Drake,74
South Florida,84,Florida A&M,73
St John's,100,Bethune-Cookman,53
St Mary's CA,81,Nevada,63
Stanford,80,Harvard,70
Syracuse,83,Colgate,55
Temple,97,La Salle,92
Tennessee St,78,UC Davis,64
Texas,78,Incarnate Word,73
Texas A&M,72,Northwestern LA,44
Texas St,61,FL Atlantic,57
Texas Tech,93,Houston Bap,67
UAB,86,Ark Pine Bluff,66
UCLA,119,Pacific,80
USC,75,Montana,61
Utah St,72,UC Irvine,56
VA Commonwealth,80,UNC Asheville,65
Valparaiso,79,Southern Utah,65
Villanova,88,Lafayette,48
Virginia,76,UNC Greensboro,51
Virginia Tech,80,Maine,67
Wagner,67,Connecticut,58
Wake Forest,80,Radford,59
Washington St,69,Montana St,65
West Virginia,87,Mt St Mary's,59
Wichita St,85,S Carolina St,39
Wisconsin,79,Cent Arkansas,47
Wright St,85,S Illinois,81
Xavier,84,Lehigh,81
Butler,89,N Colorado,52
Davidson,86,Appalachian St,74
Duke,96,Grand Canyon,61
Florida St,88,Charleston So,67
Georgetown,105,SC Upstate,60
Jacksonville,92,Denver,84
Kent,79,Cleveland St,74
LSU,91,Wofford,69
Marshall,81,NC Central,69
NE Omaha,74,Santa Barbara,60
Notre Dame,89,Bryant,64
Ohio,77,Southern Univ,67
St Bonaventure,92,St Francis PA,82
St Joseph's PA,77,Toledo,76
Tennessee St,69,Northern Arizona,65
Towson,67,George Mason,61
UC Davis,63,Santa Clara,58
UT Arlington,89,TX Southern,82
Vermont,94,Quinnipiac,70
WKU,79,Alabama St,66
Youngstown St,90,Akron,82
Arizona St,96,Cal Poly SLO,74
Brown,88,Niagara,79
Colorado St,64,New Mexico St,61
CS Fullerton,106,Portland St,100
Delaware,63,Bradley,49
DePaul,78,Robert Morris,72
Edwardsville,77,FL Atlantic,68
Florida,76,Mercer,54
Hawaii,74,Texas St,68
Illinois,79,N Kentucky,64
Iowa,116,Savannah St,84
Kentucky,93,Canisius,69
Maine,80,Longwood,58
Michigan,77,IUPUI,65
Missouri,99,Alabama A&M,44
Missouri St,91,Jacksonville St,65
Morehead St,89,Lipscomb,75
NC State,86,St Francis NY,61
Nebraska,83,CS Sacramento,61
North Carolina,97,Chattanooga,57
Oklahoma,97,Northwestern LA,61
Oregon St,72,UT San Antonio,64
Penn St,82,Duquesne,74
Rice,94,James Madison,70
Rutgers,87,Drexel,66
Seton Hall,82,Central Conn,58
Siena,89,Cornell,78
SMU,91,E Michigan,64
South Carolina,81,Holy Cross,49
South Dakota,78,Bowling Green,72
Tennessee St,69,Santa Clara,61
TN Martin,88,UTRGV,80
TX Southern,74,Delaware St,61
UC Davis,89,Northern Arizona,76
UCLA,102,CS Northridge,87
UMBC,77,MD E Shore,73
USC,82,NE Omaha,72
Wake Forest,94,Bucknell,74
Wichita St,92,Long Beach St,55
Yale,98,Washington,90
Air Force,86,Jacksonville,68
Arkansas,90,S Illinois,65
Auburn,83,Georgia St,65
BYU,82,Princeton,73
C Michigan,86,Tennessee Tech,74
Charlotte,100,Elon,95
Cincinnati,74,Albany NY,51
Col Charleston,71,Coastal Car,64
Colorado,67,Seattle,55
East Carolina,61,NC A&T,51
ETSU,107,Detroit,78
Evansville,82,Alcorn St,59
Furman,84,UAB,74
Georgia,60,UNC Asheville,46
Georgia Tech,77,Southern Univ,62
Gonzaga,69,San Diego St,48
Hawaii,64,FL Atlantic,63
Iowa St,73,Mt St Mary's,55
Lafayette,61,St Peter's,57
Louisville,91,William & Mary,58
MA Lowell,87,Wagner,76
Marquette,81,Howard,49
Memphis,94,UTRGV,75
Minnesota,84,UT Arlington,67
Mississippi,90,Massachusetts,88
Montana St,84,ULL,83
Nevada,79,Loy Marymount,64
New Hampshire,57,Temple,52
New Mexico,95,Houston Bap,79
Northeastern,64,Connecticut,61
Northwestern,86,E Washington,72
Oakland,77,W Michigan,60
Ohio,96,Sam Houston St,75
Ohio St,69,NC Central,63
Oklahoma St,102,Cent Arkansas,90
Old Dominion,64,Richmond,61
Pacific,76,WI Green Bay,58
Pittsburgh,99,Gardner Webb,80
Prairie View,84,Fresno St,78
Providence,80,Vermont,58
Rhode Island,107,Marist,65
Samford,83,San Diego,65
St John's,77,Binghamton,61
St Joseph's PA,85,Columbia,65
St Louis,88,Southern Utah,76
Stetson,82,Florida Intl,67
TCU,98,Alabama St,62
Texas,80,ULM,59
Texas A&M,76,American Univ,53
Texas St,86,Edwardsville,58
Troy,70,E Illinois,67
Tulane,93,SE Louisiana,76
UC Irvine,73,S Dakota St,58
UCF,80,Nicholls St,56
UNC Greensboro,61,Presbyterian,42
UNC Wilmington,78,E Kentucky,69
Utah St,93,NJIT,84
Valparaiso,78,Coppin St,58
Villanova,79,Purdue,76
West Virginia,107,MS Valley St,66
Wyoming,73,Montana,72
Xavier,86,Buffalo,53
Arizona,78,CS Bakersfield,66
Baylor,66,Oregon,49
Boston College,73,MD E Shore,57
Cleveland St,67,Canisius,64
Creighton,79,Wisconsin,67
Dayton,77,Alabama,72
Fairfield,79,Dartmouth,62
Florida St,99,Iona,78
G Washington,77,Siena,75
Hartford,82,Niagara,78
Indiana St,80,Ball St,74
Kansas,77,Duke,75
Kansas St,81,NE Omaha,68
Kentucky,69,Michigan St,48
La Salle,74,Delaware,68
LSU,78,Southern Miss,61
Maryland,76,Georgetown,75
Missouri KC,68,Drake,62
MTSU,87,Murray St,81
North Carolina,93,Long Beach St,67
Penn St,85,Grand Canyon,76
Pepperdine,69,Weber St,68
Portland,79,San Jose St,66
Sacred Heart,90,Hofstra,86
SF Austin,66,Longwood,60
South Carolina,70,Monmouth NJ,69
Stanford,96,CS Northridge,69
Syracuse,90,Holy Cross,46
Tennessee,103,Appalachian St,94
Texas Tech,70,North Texas,43
Toledo,103,Youngstown St,98
Towson,78,Morgan St,72
VA Commonwealth,64,Liberty,59
Vanderbilt,80,Belmont,66
Virginia,72,St Francis NY,32
Virginia Tech,99,High Point,73
Winthrop,94,Manhattan,81
Wright St,89,Miami OH,87
Bethune-Cookman,75,Kennesaw,72
Binghamton,72,Central Conn,70
Bucknell,75,Robert Morris,62
Butler,70,Northwestern,68
California,75,UC Irvine,65
Coastal Car,89,Coppin St,59
Colgate,67,Cornell,63
Duquesne,89,St Francis PA,75
FL Gulf Coast,85,UT Arlington,72
IL Chicago,86,UT San Antonio,78
Illinois St,75,IPFW,57
Indiana,100,MA Lowell,78
Kent,93,MS Valley St,63
Lamar,63,Oregon St,60
Long Island,65,Loyola MD,61
Louisiana Tech,87,Alabama St,56
Marshall,85,Morehead St,77
Memphis,68,WI Milwaukee,54
Miami FL,94,North Florida,56
Minnesota,80,Mt St Mary's,56
N Illinois,63,Idaho,49
NC Central,67,W Carolina,59
New Mexico St,58,Samford,48
Notre Dame,92,Seattle,49
Oklahoma St,117,New Orleans,72
Rhode Island,79,Brown,72
Rider,84,Hartford,68
San Francisco,75,Santa Barbara,63
SE Louisiana,84,Jackson St,71
SE Missouri St,74,W Illinois,71
St Mary's CA,110,Prairie View,72
TAM C. Christi,94,UTRGV,72
TX Southern,71,Rice,68
UMBC,90,Delaware St,68
UNLV,74,UC Riverside,62
Utah Valley,82,Idaho St,73
Vermont,76,Marist,72
WKU,74,Jacksonville St,67
